state,early_mean,recent_mean,change,cohens_d,magnitude
ARUNACHAL PRADESH,71.33510202169278,38.3751046998604,-32.959997321832375,-1.6773646561424156,large
MIZORAM,88.4132695631444,40.20294166117337,-48.21032790197103,-1.498045059643565,large
CHANDIGARH,1659.2525252525254,253.31315789473683,-1405.9393673577886,-1.4937091560390412,large
HARYANA,330.8774870679309,228.1451586532609,-102.73232841466998,-1.370993594896756,large
UTTARAKHAND,331.66200363058766,193.5515512041915,-138.11045242639617,-1.2737780262546503,large
ANDAMAN AND NICOBAR ISLANDS,2665.0,112.37254901960785,-2552.627450980392,-1.249065611866783,large
BIHAR,34.89985245590398,26.519676016313426,-8.380176439590556,-1.2242891890876169,large
HIMACHAL PRADESH,1923.16878483835,475.7220419494696,-1447.4467428888806,-1.2240007758676146,large
JHARKHAND,97.83868169038357,37.3541529777443,-60.48452871263925,-1.1684317337880077,large
MADHYA PRADESH,75.74275816421878,43.736327162388925,-32.00643100182986,-1.1588918259479708,large
ODISHA,670.6276226965882,110.22462645162524,-560.402996244963,-1.1155528048455428,large
GUJARAT,65.74528786235145,56.16602135826042,-9.579266504091024,-1.1094941943404522,large
RAJASTHAN,90.91587126924014,40.42275734529779,-50.49311392394235,-1.092995767798378,large
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,1607.0,101.3809523809524,-1505.6190476190477,-1.0404452954048895,large
PUDUCHERRY,4672.583333333333,475.9641025641026,-4196.619230769231,-1.0293409385974577,large
ODISHA,653.3716816914448,80.28461940985463,-573.0870622815902,-1.0103777743860027,large
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,1030.3333333333333,60.47222222222223,-969.8611111111112,-1.0077933651169462,large
CHHATTISGARH,323.56370781142965,169.79261067660818,-153.77109713482147,-1.0049170361081905,large
ANDHRA PRADESH,897.9245423975914,220.46983411352156,-677.4547082840699,-0.9976686679203092,large
PUDUCHERRY,9924.542857142858,411.0201149425288,-9513.52274220033,-0.9858530660156168,large
KERALA,405.1067527368702,79.1548622949808,-325.9518904418894,-0.9733143458243456,large
TRIPURA,167.67860179741513,61.76059457808475,-105.91800721933038,-0.940832231558097,large
TAMIL NADU,593.3318361472965,127.582932590376,-465.7489035569205,-0.9241367573037976,large
LADAKH,470.6888888888889,121.4093567251462,-349.2795321637427,-0.8970887263945001,large
JAMMU AND KASHMIR,382.91787430448176,128.06538955698838,-254.85248474749335,-0.860954804209131,large
GOA,535.9624060150376,187.78413978494623,-348.17826623009137,-0.8453325242933702,large
DELHI,108.04326038993536,80.85787416578715,-27.185386224148203,-0.8317001371442008,large
TELANGANA,177.32208361798226,98.18055327880523,-79.14153033917701,-0.8219205416847989,large
KARNATAKA,100.14465961839976,84.3543700823869,-15.790289536012878,-0.6264602695448406,medium
ANDAMAN AND NICOBAR ISLANDS,359.0,138.11111111111111,-220.88888888888889,-0.5742593180920996,medium
PUNJAB,177.34865984850376,156.1127711776661,-21.235888670837653,-0.4271308279815306,small
WEST BENGAL,75.33662710139419,67.18735930186692,-8.149267799527266,-0.3769353428005151,small
UTTAR PRADESH,38.29113422086136,34.75450463135147,-3.536629589509886,-0.3438229334370344,small
MAHARASHTRA,164.34137427503103,153.7253118183472,-10.616062456683837,-0.2428793812835641,small
ASSAM,28.235983222454752,27.99971637158504,-0.2362668508697112,-0.0330049533307592,negligible
SIKKIM,39.88117623117624,39.58072941551203,-0.3004468156642019,-0.0233566415309533,negligible
NAGALAND,17.590390443150614,20.104675120437268,2.5142846772866534,0.3849313589550547,small
MANIPUR,84.5123127100921,105.7581096548883,21.2457969447962,0.5885074279650704,medium
MEGHALAYA,3.4479721834546098,4.225063464516468,0.7770912810618578,0.6079280721893394,medium
WEST BENGAL,3.333333333333333,14.0,10.666666666666666,0.7540378074020369,medium
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,0.0,91.33333333333331,91.33333333333331,1.0,large
LAKSHADWEEP,17.0,132.16666666666666,115.16666666666666,1.319574842827938,large
JAMMU AND KASHMIR,10.0,30.777777777777786,20.777777777777786,1.827654887570327,large
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,68.77777777777777,270.1764705882353,201.39869281045756,2.1201126681550138,large
