state,avg_intensity,percentile,trend
PUDUCHERRY,2017.5044060493,100.0,no_trend
HIMACHAL PRADESH,882.1162289520961,97.2222,decreasing
CHANDIGARH,644.1138145480252,94.4444,decreasing
ANDAMAN AND NICOBAR ISLANDS,432.8250377073906,91.6667,no_trend
ANDHRA PRADESH,401.1811535869761,88.8889,no_trend
GOA,298.946645818593,86.1111,no_trend
HARYANA,267.9426515593676,83.3333,no_trend
TAMIL NADU,250.4877009673725,80.5556,no_trend
ODISHA,246.98662597797096,77.7778,no_trend
UTTARAKHAND,237.19751867877875,75.0,no_trend
CHHATTISGARH,230.8404634137188,72.2222,no_trend
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,209.18457073155605,69.4444,no_trend
KERALA,194.72185658171887,66.6667,no_trend
MAHARASHTRA,190.2913994687648,63.8889,no_trend
PUNJAB,183.09756629201692,61.1111,no_trend
LADAKH,171.213697705803,58.3333,no_trend
TELANGANA,125.98564303810228,55.5556,no_trend
MANIPUR,108.18236631314788,52.7778,no_trend
JAMMU AND KASHMIR,99.027186156944,50.0,no_trend
KARNATAKA,98.18525385321276,47.2222,no_trend
TRIPURA,97.70824647543633,44.4444,no_trend
DELHI,90.4890042967775,41.6667,no_trend
GUJARAT,77.26639726231787,38.8889,no_trend
MIZORAM,64.00583712282723,36.1111,decreasing
MADHYA PRADESH,59.64533078138637,33.3333,no_trend
RAJASTHAN,58.10858477308836,30.5556,decreasing
JHARKHAND,55.764306042787545,27.7778,no_trend
LAKSHADWEEP,49.03846153846154,25.0,no_trend
ARUNACHAL PRADESH,46.88794571111089,22.2222,no_trend
SIKKIM,42.160643536882965,19.4444,no_trend
UTTAR PRADESH,36.381195987944096,16.6667,no_trend
ASSAM,34.84399742749961,13.8889,no_trend
BIHAR,34.698321264594085,11.1111,no_trend
WEST BENGAL,27.78050326106175,8.3333,no_trend
NAGALAND,20.573178958242213,5.5556,no_trend
MEGHALAYA,5.7494090135145175,2.7778,no_trend
